county,year,pop
1047,2002,44944
1047,2003,44504
1047,2004,43927
1047,2005,43358
1047,2006,43050
1047,2007,42780
1047,2008,42627
1047,2009,41925
1047,2010,43820
1047,2011,43207
1047,2012,42748
1047,2013,999999
1047,2014,999999
1049,2001,65519
1049,2002,65545
1049,2003,66009
1049,2004,66574
1049,2005,66920
1049,2006,67447
1049,2007,68275
1049,2008,68894
1049,2009,69380
1049,2010,71143
1049,2011,71389
1049,2012,70961
1049,2013,999999
1049,2014,999999
1051,2001,67566
1051,2002,68822
1051,2003,70151
1051,2004,71276
1051,2005,73241
1051,2006,75511
1051,2007,77459
1051,2008,78125
1051,2009,79233
1051,2010,79573
1051,2011,80030
1051,2012,80291
1051,2013,999999
1051,2014,999999
1053,2001,38430
1053,2002,38319
1053,2003,38028
1053,2004,37888
1053,2005,37642
1053,2006,37572
1053,2007,37623
1053,2008,37532
1053,2009,37434
1053,2010,38314
1053,2011,38227
1053,2012,38063
1053,2013,999999
1053,2014,999999
1055,2001,102914
1055,2002,102815
1055,2003,102698
1055,2004,102657
1055,2005,102602
1055,2006,102854
1055,2007,103216
1055,2008,103435
1055,2009,103645
1055,2010,104449
1055,2011,104236
1055,2012,104215
1055,2013,999999
1055,2014,999999
1057,2001,18341
1057,2002,18244
1057,2003,18145
1057,2004,17998
1057,2005,18012
1057,2006,17758
1057,2007,17538
1057,2008,17577
1057,2009,17371
1057,2010,17231
1057,2011,17063
1057,2012,16966
1057,2013,999999
1057,2014,999999
1059,2001,31112
1059,2002,30766
1059,2003,30684
1059,2004,30533
1059,2005,30673
1059,2006,30791
1059,2007,30627
1059,2008,31051
1059,2009,31091
1059,2010,31734
1059,2011,31734
1059,2012,31652
1059,2013,999999
1059,2014,999999
1061,2001,25528
1061,2002,25458
1061,2003,25481
1061,2004,25458
1061,2005,25584
1061,2006,25769
1061,2007,25717
1061,2008,25971
1061,2009,25961
1061,2010,26796
1061,2011,26843
1061,2012,27012
1061,2013,999999
1061,2014,999999
1063,2001,9864
1063,2002,9840
1063,2003,9697
1063,2004,9534
1063,2005,9472
1063,2006,9119
1063,2007,9100
1063,2008,9039
1063,2009,8829
1063,2010,9001
1063,2011,8926
1063,2012,8837
1063,2013,999999
1063,2014,999999
1065,2001,18271
1065,2002,18047
1065,2003,18013
1065,2004,17876
1065,2005,17921
1065,2006,17901
1065,2007,18091
1065,2008,18083
1065,2009,17975
1065,2010,15740
1065,2011,15377
1065,2012,15393
1065,2013,999999
1065,2014,999999
1067,2001,16301
1067,2002,16326
1067,2003,16370
1067,2004,16432
1067,2005,16424
1067,2006,16555
1067,2007,16653
1067,2008,16623
1067,2009,16647
1067,2010,17294
1067,2011,17405
1067,2012,17237
1067,2013,999999
1067,2014,999999
1069,2001,89437
1069,2002,89849
1069,2003,91147
1069,2004,92374
1069,2005,93614
1069,2006,95511
1069,2007,97392
1069,2008,98852
1069,2009,100085
1069,2010,101804
1069,2011,102480
1069,2012,103382
1069,2013,999999
1069,2014,999999
1071,2001,53972
1071,2002,53648
1071,2003,53483
1071,2004,53217
1071,2005,52923
1071,2006,52998
1071,2007,52796
1071,2008,52934
1071,2009,52838
1071,2010,53181
1071,2011,53275
1071,2012,53087
1071,2013,999999
1071,2014,999999
1073,2001,661494
1073,2002,659766
1073,2003,660486
1073,2004,660016
1073,2005,659715
1073,2006,661447
1073,2007,661477
1073,2008,663394
1073,2009,665027
1073,2010,658150
1073,2011,657669
1073,2012,657639
1073,2013,999999
1073,2014,999999
1075,2001,15561
1075,2002,15317
1075,2003,15065
1075,2004,14828
1075,2005,14707
1075,2006,14456
1075,2007,14484
1075,2008,14341
1075,2009,14200
1075,2010,14495
1075,2011,14301
1075,2012,14257
1075,2013,999999
1075,2014,999999
1077,2001,87393
1077,2002,86872
1077,2003,86944
1077,2004,87203
1077,2005,87437
1077,2006,87992
1077,2007,88522
1077,2008,89200
1077,2009,89599
1077,2010,92747
1077,2011,92593
1077,2012,92694
1077,2013,999999
1077,2014,999999
1079,2001,34836
1079,2002,34643
1079,2003,34393
1079,2004,34204
1079,2005,34293
1079,2006,33875
1079,2007,34151
1079,2008,34047
1079,2009,34106
1079,2010,34306
1079,2011,34052
1079,2012,33788
1079,2013,999999
1079,2014,999999
1081,2001,116759
1081,2002,118197
1081,2003,119631
1081,2004,121698
1081,2005,125350
1081,2006,128217
1081,2007,130791
1081,2008,133105
1081,2009,135883
1081,2010,140804
1081,2011,144123
1081,2012,148289
1081,2013,999999
1081,2014,999999
1083,2001,66643
1083,2002,67108
1083,2003,67685
1083,2004,68407
1083,2005,69792
1083,2006,71795
1083,2007,73909
1083,2008,76314
1083,2009,78572
1083,2010,83162
1083,2011,85571
1083,2012,87368
1083,2013,999999
1083,2014,999999
1085,2001,13451
1085,2002,13459
1085,2003,13316
1085,2004,13033
1085,2005,12898
1085,2006,12711
1085,2007,12664
